YEAR,Country,region,agro_ecological_zone,season,environment_condition,latitude,longitude,elevation,rainfall_mm,mean_temperature,soil_type,soil_pH,soil_N_content,soil_P_content,soil_K_content,Crop,Scientific_name,ENTRY,Pedigree,Name,breeding_institution,maturity_group,rep,days_to_anthesis,Days_to_silking,anthesis_silking_interval,plant_height,ear_height,husk_cover,plant_aspect,field_weight,ear_harvested,ear_per_plant,ear_aspect,grain_moisture,grain_yield,staygreen,canopy_height,branches_per_plant,peduncles_per_plant,pods_per_plant,seeds_per_plot,seed_100_weight,dry_matter,harvest_index,fodder_yield,grains_per_panicle,panicle_width,panicle_length,panicle_number,seed_1000_weight,tillers_per_plant,leaf_number,panicle_harvested,leaf_length,leaf_width,grain_covering
2020,Nigeria,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,NA,55,6,5,30,8,14,45,45,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Nigeria,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,NA,60,7,6,32,9,15,48,46,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Nigeria,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150,NA,52,5,4,28,8,13,43,44,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Nigeria,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,NA,58,6,5,31,8,14,46,45,1550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Nigeria,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1230,NA,56,6,5,30,9,15,47,46,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Nigeria,Omu-Aran,Southern Guinea Savanna,rainy,Optimum,8.14,5.1,562,950,24.8,sandy loam,6.2,0.13,10,130,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,2,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,NA,62,7,6,34,9,16,50,47,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Nigeria,Ibadan,Forest–Savanna Transition Zone,rainy,Optimum,7.3775,3.947,239,1020,25.5,loam,6.3,0.14,12,150,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,NA,53,5,4,27,8,13,42,44,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,Nigeria,Ibadan,Forest–Savanna Transition Zone,rainy,Optimum,7.3775,3.947,239,1020,25.5,loam,6.3,0.14,12,150,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240,NA,57,6,5,31,9,15,48,46,1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Nigeria,Ibadan,Forest–Savanna Transition Zone,rainy,Optimum,7.3775,3.947,239,1020,25.5,loam,6.3,0.14,12,150,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210,NA,55,6,5,30,8,14,46,45,1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Nigeria,Ibadan,Forest–Savanna Transition Zone,rainy,Optimum,7.3775,3.947,239,1020,25.5,loam,6.3,0.14,12,150,Cowpea,Vigna unguiculata,1,NA,IT82D-716,IITA,NA,2,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,NA,63,7,6,35,9,16,51,47,1680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
