YEAR,Country,region,agro_ecological_zone,season,environment_condition,latitude,longitude,elevation,rainfall_mm,mean_temperature,soil_type,soil_pH,soil_N_content,soil_P_content,soil_K_content,Crop,Scientific_name,ENTRY,Pedigree,Name,breeding_institution,maturity_group,rep,days_to_anthesis,Days_to_silking,anthesis_silking_interval,plant_height,ear_height,husk_cover,plant_aspect,field_weight,ear_harvested,ear_per_plant,ear_aspect,grain_moisture,grain_yield,staygreen,canopy_height,branches_per_plant,peduncles_per_plant,pods_per_plant,seeds_per_plot,seed_100_weight,dry_matter,harvest_index,fodder_yield,grains_per_panicle,panicle_width,panicle_length,panicle_number,seed_1000_weight,tillers_per_plant,leaf_number,panicle_harvested,leaf_length,leaf_width,grain_covering
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,1,NA,CS 54,ICRISAT,Extra-Early,1,83,NA,NA,240,NA,NA,NA,1077,NA,NA,NA,NA,1055,4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5.4,8.9,NA,80,NA,5,23,14.7,8.7,45
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,1,NA,CS 54,ICRISAT,Extra-Early,2,85,NA,NA,219,NA,NA,NA,1090,NA,NA,NA,NA,1012,5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,7,9,NA,80,NA,8,21,14.6,8.6,45
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,2,NA,CS 95,ICRISAT,Extra-Early,1,87,NA,NA,238,NA,NA,NA,1098,NA,NA,NA,NA,1006,5,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,6,8.5,NA,90,NA,8,27,14.1,8.6,50
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,2,NA,CS 95,ICRISAT,Extra-Early,2,86,NA,NA,240,NA,NA,NA,1098,NA,NA,NA,NA,998,5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,5,10,NA,70,NA,7,28,14.7,8,75
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,3,NA,CSR-01,ICRISAT,Extra-Early,1,87,NA,NA,230.6,NA,NA,NA,1088,NA,NA,NA,NA,907,4,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,6,8.7,NA,80,NA,8,24,15,7.9,50
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,3,NA,CSR-01,ICRISAT,Extra-Early,2,84,NA,NA,221,NA,NA,NA,1100,NA,NA,NA,NA,1031,3,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,6.6,9,NA,90,NA,9,28,14.1,8.8,75
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,4,NA,CSR-02,ICRISAT,Early,1,85,NA,NA,226,NA,NA,NA,1087,NA,NA,NA,NA,955,5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,6.4,9,NA,80,NA,7,27,14.1,8.9,50
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,4,NA,CSR-02,ICRISAT,Early,2,86,NA,NA,238.4,NA,NA,NA,1097,NA,NA,NA,NA,997,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5.8,8.9,NA,80,NA,8,24,14.8,7.2,50
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,5,NA,CSR-03H,ICRISAT,Early,1,86,NA,NA,238.2,NA,NA,NA,1089,NA,NA,NA,NA,886,6,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,6,9.7,NA,80,NA,6,32,15.1,8,50
2020,Ghana,Damongo,Guinea Savanna,rainy,Optimum,9.0833,–1.8167,274,750,26.5,loam,6.1,0.12,11,140,Sorghum,Sorghum bicolor,5,NA,CSR-03H,ICRISAT,Early,2,87,NA,NA,230,NA,NA,NA,1079,NA,NA,NA,NA,1066,3,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,6.9,9.1,NA,80,NA,7,31,15,8.9,45
